,GARDA DIVISION,OFFENCE,TYPE OF OFFENCE,Total_2016,Total_2017,Total_2018
1363,D.M.R. NORTH CENTRAL,Possession of an article (with intent to burgle/ steal/ demand),BURGLARY AND RELATED OFFENCES,56,51,38
1364,D.M.R. NORTH CENTRAL,Theft/taking of vehicle and related offences,THEFT AND RELATED OFFENCES,278,333,278
1365,D.M.R. NORTH CENTRAL,Theft from person,THEFT AND RELATED OFFENCES,1543,1494,1342
1366,D.M.R. NORTH CENTRAL,Theft from shop,THEFT AND RELATED OFFENCES,3014,2817,2844
1367,D.M.R. NORTH CENTRAL,Other thefts/ handling stolen property,THEFT AND RELATED OFFENCES,2983,3046,2975
1368,D.M.R. NORTH CENTRAL,Fraud/ deception and related offences,FRAUD/DECEPTION AND RELATED OFFENCES,363,460,573
1369,D.M.R. NORTH CENTRAL,Importation of drugs,CONTROLLED DRUG OFFENCES,0,1,1
1370,D.M.R. NORTH CENTRAL,Cultivation or manufacture of drugs,CONTROLLED DRUG OFFENCES,3,0,2
1371,D.M.R. NORTH CENTRAL,Possession of drugs for sale or supply,CONTROLLED DRUG OFFENCES,650,515,609
1372,D.M.R. NORTH CENTRAL,Possession of drugs for personal use,CONTROLLED DRUG OFFENCES,520,441,536
1373,D.M.R. NORTH CENTRAL,Other drug offences,CONTROLLED DRUG OFFENCES,63,55,63
1374,D.M.R. NORTH CENTRAL,Explosives/ chemical weapons offences,WEAPONS AND EXPLOSIVES OFFENCES,1,0,2
1375,D.M.R. NORTH CENTRAL,Discharging a firearm,WEAPONS AND EXPLOSIVES OFFENCES,2,0,0
1376,D.M.R. NORTH CENTRAL,Possession of a firearm,WEAPONS AND EXPLOSIVES OFFENCES,13,15,12
1377,D.M.R. NORTH CENTRAL,Offensive weapons offences (n.e.c.),WEAPONS AND EXPLOSIVES OFFENCES,151,194,243
1378,D.M.R. NORTH CENTRAL,Fireworks offences,WEAPONS AND EXPLOSIVES OFFENCES,2,3,13
1379,D.M.R. NORTH CENTRAL,Arson,DAMAGE TO PROPERTY AND ENVIRONMENT,68,107,61
1380,D.M.R. NORTH CENTRAL,Criminal damage (not arson),DAMAGE TO PROPERTY AND ENVIRONMENT,1125,1138,1071
1381,D.M.R. NORTH CENTRAL,Litter offences,DAMAGE TO PROPERTY AND ENVIRONMENT,3,4,4
1382,D.M.R. NORTH CENTRAL,Disorderly conduct,PUBLIC ORDER AND OTHER SOCIAL CODE OFFENCES,1442,1801,1850
1383,D.M.R. NORTH CENTRAL,Trespass offences,PUBLIC ORDER AND OTHER SOCIAL CODE OFFENCES,101,130,136
1384,D.M.R. NORTH CENTRAL,Liquor licensing offences,PUBLIC ORDER AND OTHER SOCIAL CODE OFFENCES,25,27,23
1385,D.M.R. NORTH CENTRAL,Prostitution offences,PUBLIC ORDER AND OTHER SOCIAL CODE OFFENCES,2,3,1
1386,D.M.R. NORTH CENTRAL,Regulated betting/money/ collection/trading offences,PUBLIC ORDER AND OTHER SOCIAL CODE OFFENCES,49,36,35
1387,D.M.R. NORTH CENTRAL,Social code offences (n.e.c.),PUBLIC ORDER AND OTHER SOCIAL CODE OFFENCES,879,726,536
1388,D.M.R. NORTH CENTRAL,Offences against government and its agents,OFFENCES AGAINST GOVERNMENT/ JUSTICE PROCEDURES AND ORGANISATION OF CRIME,6,11,5
1389,D.M.R. NORTH CENTRAL,Organisation of crime and conspiracy to commit crime,OFFENCES AGAINST GOVERNMENT/ JUSTICE PROCEDURES AND ORGANISATION OF CRIME,0,1,2
1390,D.M.R. NORTH CENTRAL,Perverting the course of justice,OFFENCES AGAINST GOVERNMENT/ JUSTICE PROCEDURES AND ORGANISATION OF CRIME,0,9,2
1391,D.M.R. NORTH CENTRAL,Offences while in custody/ breach of court orders,OFFENCES AGAINST GOVERNMENT/ JUSTICE PROCEDURES AND ORGANISATION OF CRIME,4263,4996,5634
1392,D.M.R. NORTHERN,Murder,HOMICIDE OFFENCES,1,6,2
1393,D.M.R. NORTHERN,Manslaughter,HOMICIDE OFFENCES,0,2,0
1394,D.M.R. NORTHERN,Infanticide,HOMICIDE OFFENCES,0,0,0
1395,D.M.R. NORTHERN,Dangerous driving leading to death,HOMICIDE OFFENCES,4,1,0
1396,D.M.R. NORTHERN,Rape and sexual assault,SEXUAL OFFENCES,179,167,154
1397,D.M.R. NORTHERN,Other sexual offences,SEXUAL OFFENCES,19,38,37
1398,D.M.R. NORTHERN,Murder-attempt,ATTEMPTS/THREATS TO MURDER/ASSAULTS/ HARASSMENTS AND RELATED OFFENCES,5,4,3
1399,D.M.R. NORTHERN,Murder-threat,ATTEMPTS/THREATS TO MURDER/ASSAULTS/ HARASSMENTS AND RELATED OFFENCES,41,55,65
1400,D.M.R. NORTHERN,Harassment and related offences,ATTEMPTS/THREATS TO MURDER/ASSAULTS/ HARASSMENTS AND RELATED OFFENCES,90,107,106
1401,D.M.R. NORTHERN,Assault causing harm/ poisoning,ATTEMPTS/THREATS TO MURDER/ASSAULTS/ HARASSMENTS AND RELATED OFFENCES,221,228,290
1402,D.M.R. NORTHERN,Other assault,ATTEMPTS/THREATS TO MURDER/ASSAULTS/ HARASSMENTS AND RELATED OFFENCES,772,786,870
1403,D.M.R. NORTHERN,Dangerous driving causing serious bodily harm,DANGEROUS OR NEGLIGENT ACTS,0,0,4
1404,D.M.R. NORTHERN,Driving/in charge of a vehicle while over legal alcohol limit,DANGEROUS OR NEGLIGENT ACTS,371,330,316
1405,D.M.R. NORTHERN,Driving/in charge of a vehicle under the influence of drugs,DANGEROUS OR NEGLIGENT ACTS,11,17,17
1406,D.M.R. NORTHERN,Endangerment with potential for serious harm/death,DANGEROUS OR NEGLIGENT ACTS,8,7,12
1407,D.M.R. NORTHERN,Abandoning a child/ child neglect and cruelty,DANGEROUS OR NEGLIGENT ACTS,21,26,37
1408,D.M.R. NORTHERN,Unseaworthy/dangerous use of boat or ship,DANGEROUS OR NEGLIGENT ACTS,0,0,0
1409,D.M.R. NORTHERN,False alarm/interference with aircraft or air transport facilities,DANGEROUS OR NEGLIGENT ACTS,2,4,0
1410,D.M.R. NORTHERN,Endangering traffic offences,DANGEROUS OR NEGLIGENT ACTS,11,11,17
1411,D.M.R. NORTHERN,False imprisonment,KIDNAPPING AND RELATED OFFENCES,12,6,7
1412,D.M.R. NORTHERN,Abduction of person under 16 years of age,KIDNAPPING AND RELATED OFFENCES,2,7,6
1413,D.M.R. NORTHERN,Human trafficking offences,KIDNAPPING AND RELATED OFFENCES,3,7,6
1414,D.M.R. NORTHERN,Robbery of an establishment or institution,ROBBERY/EXTORTION AND HIJACKING OFFENCES,108,141,129
1415,D.M.R. NORTHERN,Robbery of cash or goods in transit,ROBBERY/EXTORTION AND HIJACKING OFFENCES,4,7,3
1416,D.M.R. NORTHERN,Robbery from the person,ROBBERY/EXTORTION AND HIJACKING OFFENCES,132,146,230
1417,D.M.R. NORTHERN,Blackmail or extortion,ROBBERY/EXTORTION AND HIJACKING OFFENCES,2,3,18
1418,D.M.R. NORTHERN,Carjacking/ hijacking/unlawful seizure of aircraft/vessel,ROBBERY/EXTORTION AND HIJACKING OFFENCES,9,9,19
1419,D.M.R. NORTHERN,Aggravated burglary,BURGLARY AND RELATED OFFENCES,23,18,30
1420,D.M.R. NORTHERN,Burglary (not aggravated),BURGLARY AND RELATED OFFENCES,1650,1516,1551
1421,D.M.R. NORTHERN,Possession of an article (with intent to burgle/ steal/ demand),BURGLARY AND RELATED OFFENCES,44,44,40
1422,D.M.R. NORTHERN,Theft/taking of vehicle and related offences,THEFT AND RELATED OFFENCES,497,633,895
1423,D.M.R. NORTHERN,Theft from person,THEFT AND RELATED OFFENCES,172,175,189
1424,D.M.R. NORTHERN,Theft from shop,THEFT AND RELATED OFFENCES,1577,1736,1965
1425,D.M.R. NORTHERN,Other thefts/ handling stolen property,THEFT AND RELATED OFFENCES,2821,3555,3747
1426,D.M.R. NORTHERN,Fraud/ deception and related offences,FRAUD/DECEPTION AND RELATED OFFENCES,324,324,469
1427,D.M.R. NORTHERN,Importation of drugs,CONTROLLED DRUG OFFENCES,21,15,8
1428,D.M.R. NORTHERN,Cultivation or manufacture of drugs,CONTROLLED DRUG OFFENCES,8,11,9
1429,D.M.R. NORTHERN,Possession of drugs for sale or supply,CONTROLLED DRUG OFFENCES,218,239,258
1430,D.M.R. NORTHERN,Possession of drugs for personal use,CONTROLLED DRUG OFFENCES,815,756,779
1431,D.M.R. NORTHERN,Other drug offences,CONTROLLED DRUG OFFENCES,40,21,39
1432,D.M.R. NORTHERN,Explosives/ chemical weapons offences,WEAPONS AND EXPLOSIVES OFFENCES,1,6,3
1433,D.M.R. NORTHERN,Discharging a firearm,WEAPONS AND EXPLOSIVES OFFENCES,11,19,18
1434,D.M.R. NORTHERN,Possession of a firearm,WEAPONS AND EXPLOSIVES OFFENCES,19,20,19
1435,D.M.R. NORTHERN,Offensive weapons offences (n.e.c.),WEAPONS AND EXPLOSIVES OFFENCES,135,138,176
1436,D.M.R. NORTHERN,Fireworks offences,WEAPONS AND EXPLOSIVES OFFENCES,9,11,7
1437,D.M.R. NORTHERN,Arson,DAMAGE TO PROPERTY AND ENVIRONMENT,139,100,135
1438,D.M.R. NORTHERN,Criminal damage (not arson),DAMAGE TO PROPERTY AND ENVIRONMENT,1494,1799,1747
1439,D.M.R. NORTHERN,Litter offences,DAMAGE TO PROPERTY AND ENVIRONMENT,3,6,2
1440,D.M.R. NORTHERN,Disorderly conduct,PUBLIC ORDER AND OTHER SOCIAL CODE OFFENCES,812,928,984
1441,D.M.R. NORTHERN,Trespass offences,PUBLIC ORDER AND OTHER SOCIAL CODE OFFENCES,181,211,192
1442,D.M.R. NORTHERN,Liquor licensing offences,PUBLIC ORDER AND OTHER SOCIAL CODE OFFENCES,9,3,3
1443,D.M.R. NORTHERN,Prostitution offences,PUBLIC ORDER AND OTHER SOCIAL CODE OFFENCES,1,1,2
1444,D.M.R. NORTHERN,Regulated betting/money/ collection/trading offences,PUBLIC ORDER AND OTHER SOCIAL CODE OFFENCES,15,14,8
1445,D.M.R. NORTHERN,Social code offences (n.e.c.),PUBLIC ORDER AND OTHER SOCIAL CODE OFFENCES,23,34,58
1446,D.M.R. NORTHERN,Offences against government and its agents,OFFENCES AGAINST GOVERNMENT/ JUSTICE PROCEDURES AND ORGANISATION OF CRIME,11,9,7
1447,D.M.R. NORTHERN,Organisation of crime and conspiracy to commit crime,OFFENCES AGAINST GOVERNMENT/ JUSTICE PROCEDURES AND ORGANISATION OF CRIME,0,1,0
1448,D.M.R. NORTHERN,Perverting the course of justice,OFFENCES AGAINST GOVERNMENT/ JUSTICE PROCEDURES AND ORGANISATION OF CRIME,2,3,0
1449,D.M.R. NORTHERN,Offences while in custody/ breach of court orders,OFFENCES AGAINST GOVERNMENT/ JUSTICE PROCEDURES AND ORGANISATION OF CRIME,371,471,481
1450,D.M.R. SOUTHERN,Murder,HOMICIDE OFFENCES,4,6,3
1451,D.M.R. SOUTHERN,Manslaughter,HOMICIDE OFFENCES,1,1,0
1452,D.M.R. SOUTHERN,Infanticide,HOMICIDE OFFENCES,0,0,0
1453,D.M.R. SOUTHERN,Dangerous driving leading to death,HOMICIDE OFFENCES,0,1,0
1454,D.M.R. SOUTHERN,Rape and sexual assault,SEXUAL OFFENCES,136,130,143
1455,D.M.R. SOUTHERN,Other sexual offences,SEXUAL OFFENCES,16,23,19
1456,D.M.R. SOUTHERN,Murder-attempt,ATTEMPTS/THREATS TO MURDER/ASSAULTS/ HARASSMENTS AND RELATED OFFENCES,3,0,0
1457,D.M.R. SOUTHERN,Murder-threat,ATTEMPTS/THREATS TO MURDER/ASSAULTS/ HARASSMENTS AND RELATED OFFENCES,23,30,36
1458,D.M.R. SOUTHERN,Harassment and related offences,ATTEMPTS/THREATS TO MURDER/ASSAULTS/ HARASSMENTS AND RELATED OFFENCES,63,61,88
1459,D.M.R. SOUTHERN,Assault causing harm/ poisoning,ATTEMPTS/THREATS TO MURDER/ASSAULTS/ HARASSMENTS AND RELATED OFFENCES,178,165,199
1460,D.M.R. SOUTHERN,Other assault,ATTEMPTS/THREATS TO MURDER/ASSAULTS/ HARASSMENTS AND RELATED OFFENCES,482,525,554
1461,D.M.R. SOUTHERN,Dangerous driving causing serious bodily harm,DANGEROUS OR NEGLIGENT ACTS,0,2,0
1462,D.M.R. SOUTHERN,Driving/in charge of a vehicle while over legal alcohol limit,DANGEROUS OR NEGLIGENT ACTS,241,213,229
1463,D.M.R. SOUTHERN,Driving/in charge of a vehicle under the influence of drugs,DANGEROUS OR NEGLIGENT ACTS,8,11,31
1464,D.M.R. SOUTHERN,Endangerment with potential for serious harm/death,DANGEROUS OR NEGLIGENT ACTS,7,11,11
1465,D.M.R. SOUTHERN,Abandoning a child/ child neglect and cruelty,DANGEROUS OR NEGLIGENT ACTS,3,28,25
1466,D.M.R. SOUTHERN,Unseaworthy/dangerous use of boat or ship,DANGEROUS OR NEGLIGENT ACTS,0,0,0
1467,D.M.R. SOUTHERN,False alarm/interference with aircraft or air transport facilities,DANGEROUS OR NEGLIGENT ACTS,0,0,0
1468,D.M.R. SOUTHERN,Endangering traffic offences,DANGEROUS OR NEGLIGENT ACTS,4,12,23
1469,D.M.R. SOUTHERN,False imprisonment,KIDNAPPING AND RELATED OFFENCES,2,6,4
1470,D.M.R. SOUTHERN,Abduction of person under 16 years of age,KIDNAPPING AND RELATED OFFENCES,0,2,0
1471,D.M.R. SOUTHERN,Human trafficking offences,KIDNAPPING AND RELATED OFFENCES,2,2,1
1472,D.M.R. SOUTHERN,Robbery of an establishment or institution,ROBBERY/EXTORTION AND HIJACKING OFFENCES,100,75,83
1473,D.M.R. SOUTHERN,Robbery of cash or goods in transit,ROBBERY/EXTORTION AND HIJACKING OFFENCES,2,1,1
1474,D.M.R. SOUTHERN,Robbery from the person,ROBBERY/EXTORTION AND HIJACKING OFFENCES,133,129,157
1475,D.M.R. SOUTHERN,Blackmail or extortion,ROBBERY/EXTORTION AND HIJACKING OFFENCES,2,3,7
1476,D.M.R. SOUTHERN,Carjacking/ hijacking/unlawful seizure of aircraft/vessel,ROBBERY/EXTORTION AND HIJACKING OFFENCES,5,11,10
1477,D.M.R. SOUTHERN,Aggravated burglary,BURGLARY AND RELATED OFFENCES,18,21,24
1478,D.M.R. SOUTHERN,Burglary (not aggravated),BURGLARY AND RELATED OFFENCES,1536,1304,1345
1479,D.M.R. SOUTHERN,Possession of an article (with intent to burgle/ steal/ demand),BURGLARY AND RELATED OFFENCES,54,30,25
1480,D.M.R. SOUTHERN,Theft/taking of vehicle and related offences,THEFT AND RELATED OFFENCES,471,308,321
1481,D.M.R. SOUTHERN,Theft from person,THEFT AND RELATED OFFENCES,143,186,131
1482,D.M.R. SOUTHERN,Theft from shop,THEFT AND RELATED OFFENCES,1174,1193,1372
1483,D.M.R. SOUTHERN,Other thefts/ handling stolen property,THEFT AND RELATED OFFENCES,2432,2420,2192
1484,D.M.R. SOUTHERN,Fraud/ deception and related offences,FRAUD/DECEPTION AND RELATED OFFENCES,346,320,387
1485,D.M.R. SOUTHERN,Importation of drugs,CONTROLLED DRUG OFFENCES,0,1,0
1486,D.M.R. SOUTHERN,Cultivation or manufacture of drugs,CONTROLLED DRUG OFFENCES,13,12,3
1487,D.M.R. SOUTHERN,Possession of drugs for sale or supply,CONTROLLED DRUG OFFENCES,256,286,296
1488,D.M.R. SOUTHERN,Possession of drugs for personal use,CONTROLLED DRUG OFFENCES,826,712,877
1489,D.M.R. SOUTHERN,Other drug offences,CONTROLLED DRUG OFFENCES,27,9,26
1490,D.M.R. SOUTHERN,Explosives/ chemical weapons offences,WEAPONS AND EXPLOSIVES OFFENCES,0,1,0
1491,D.M.R. SOUTHERN,Discharging a firearm,WEAPONS AND EXPLOSIVES OFFENCES,5,3,3
1492,D.M.R. SOUTHERN,Possession of a firearm,WEAPONS AND EXPLOSIVES OFFENCES,13,20,13
1493,D.M.R. SOUTHERN,Offensive weapons offences (n.e.c.),WEAPONS AND EXPLOSIVES OFFENCES,119,99,94
1494,D.M.R. SOUTHERN,Fireworks offences,WEAPONS AND EXPLOSIVES OFFENCES,5,7,7
1495,D.M.R. SOUTHERN,Arson,DAMAGE TO PROPERTY AND ENVIRONMENT,113,127,134
1496,D.M.R. SOUTHERN,Criminal damage (not arson),DAMAGE TO PROPERTY AND ENVIRONMENT,1651,1507,1493
